source_id,common_name
65119748682966912,Wolf 1259
65154726896576512,HAT 259-02848
65319619282119808,32 Tauri
65360679167740928,Gaia DR3 65360679167740928
65360679169452032,Wolf 1312
65371399405314304,HD 24844B
65371399407749760,HD 24844A
65389300831383040,Gaia DR3 65389300831383040
65398303082852608,UCAC4 564-008380
65398303082852864,V* V574 Tau
65461902959414656,UCAC4 565-008803
65502206932420224,TIC 14226171
65588896552347008,2MASS J03531102+2249263
65638443294980224,TIC 440731915
65829792677145344,LP 357-56
65866248360249984,TIC 14286664
65958916574337152,Gaia DR3 65958916574337152
66029182240278016,TIC 23112400
66101646928253312,LP 357-119
66144699680456320,GJ 159.1
66174455213158656,LP 357-90
66209360410605312,2MASS J04001494+2440525
66284921771767808,UCAC4 576-009799
66286704180780672,LP 357-279
66341576682958080,Gaia DR3 66341576682958080
66381163398932480,Wolf 1320
66422326365508736,LP 357-118 A
66482352830035840,Wolf 1297
66483658500056832,LP 357-23
66556672943906432,LP 357-4
66818769026836480,V* V867 Tau
66837563803594880,WD 0343+247
66848249682187648,Wolf 1286
66892264508548864,LTT 11282
66945178505314944,HD 23742
67147729162053632,TIC 22984214
67182295058770944,LP 357-107
67183630791112192,Gaia DR3 67183630791112192
67198925172337536,Ross 873
67270462147226880,LP 357-281
67344850981716736,TIC 84336289
67351757289092224,Wolf 1305
67367631488207744,Gaia DR3 67367631488207744
67407347048574336,TIC 348763967
67623748976014720,LP 356-757
67696694700442624,V* V426 Tau
68001499939741440,HIP 16529
68012529415816832,TIC 26126812
68230095278817792,Gaia DR3 68230095278817792
68553214259413760,TIC 427580418
68553931516671488,Wolf 1246
68640243180206208,** UC 1035A
68640281834136832,** SKF 2336A
68640281835946240,** SKF 2336B
68648455541664384,Wolf 204
68648833498786688,Wolf 205
68732469013606656,LP 356-770
68937115615092992,LP 356-158
68991404001811456,LP 356-37
69023083679564672,TIC 405413438
69027275567598720,TIC 405413351
69057787016249728,TIC 29017027
69092112394903936,Gaia DR3 69092112394903936
69116748327393536,TIC 405431193
69228997297025664,TIC 405414542
69232540645552512,Gaia DR3 69232540645552512
69443337640657536,Wolf 1241
69722613594463488,G 37-42
69895855395562624,LHS 5078
69927191475070080,2MUCD 20165
69990202940592896,Gaia DR3 69990202940592896
70010135885771904,Gaia DR3 70010135885771904
70051608089857536,Wolf 1278
70084799597055872,LP 356-600
70121805033332480,LSPM J0342+2553
70298895126196864,LP 356-480
70408880650765440,HD 283037
70410942235044864,Gaia DR3 70410942235044864
70412316624566272,UCAC4 583-009588
